country,affected_population,response_time_hours,severity_level,estimated_economic_loss_usd
Japan,39988,63.28,7,7769396.31
Japan,51123,12.21,9,9368658.7
Japan,64557,54.37,10,15848097.56
Japan,0,44.8,1,0.0
Japan,40329,28.26,8,2646028.79
Japan,55402,4.39,10,2888787.85
Japan,44405,30.22,10,6542930.82
Japan,16762,13.31,4,2388828.2
Japan,49644,42.62,10,7398469.71
Japan,37214,35.16,7,9047672.04
Japan,9750,29.51,5,2254357.5
Japan,38050,69.04,7,5353005.45
Japan,14309,14.28,2,2452440.99
Japan,46588,23.22,9,3108795.61
Japan,15516,19.93,1,1618279.51
Japan,18772,61.84,2,2993149.04
Japan,23073,58.25,4,2172201.66
Japan,15239,66.99,2,2837501.65
Japan,32090,1.25,4,6044849.07
Japan,34404,65.25,5,6427751.59
Japan,29231,5.36,8,5394863.58
Japan,40411,10.09,10,4933510.83
Japan,1386,34.81,1,217751.1
Japan,12528,13.27,3,3644846.47
Japan,50758,27.78,10,12758353.09
Japan,6789,57.97,3,740351.26
Japan,29721,33.0,2,5264566.97
Japan,0,67.76,2,0.0
Japan,12545,5.84,2,2711301.26
Japan,0,23.85,1,0.0
Japan,31230,41.45,4,5382321.06
Japan,53603,6.96,10,10553892.18
Japan,43544,5.48,8,11753062.47
Japan,56079,5.75,10,7904589.01
Japan,26637,65.4,4,7820553.84
Japan,31956,13.82,6,9472740.63
Japan,35141,31.46,5,8037224.61
Japan,35133,18.95,6,8579456.04
Japan,24267,24.68,6,2971498.91
Japan,22425,34.67,6,5861634.7
Japan,15988,61.84,4,2114002.27
Japan,58831,70.45,10,12049941.12
Japan,14091,25.26,3,3383699.11
Japan,1332,18.33,3,79778.43
Japan,0,31.17,2,0.0
Japan,57986,51.97,9,8130241.26
Japan,55106,34.94,9,15462336.41
Japan,12010,25.86,1,2673642.14
Japan,35319,71.86,5,10413758.98
Japan,44571,54.24,10,8807717.54
Japan,53101,44.36,10,3033908.83
Japan,0,24.27,1,0.0
Japan,2686,5.9,1,351076.04
Japan,18532,58.35,4,5155716.35
Japan,51440,16.14,7,13159688.78
Japan,21539,48.3,8,3358641.62
Japan,18844,49.57,2,4328467.25
Japan,0,1.31,1,0.0
Japan,19930,34.07,4,3208773.38
Japan,30458,41.73,2,2704352.9
Japan,35243,18.48,8,2637199.11
Japan,15598,26.1,6,1045895.57
Japan,26309,14.56,6,7210658.15
Japan,32606,48.12,8,5671723.36
Japan,13812,21.11,2,3928808.16
Japan,28375,9.96,6,6733072.24
Japan,47956,35.47,9,4256773.29
Japan,26597,9.7,7,1382982.17
Japan,4034,8.23,1,320019.31
Japan,50432,37.03,10,11187728.69
Japan,38397,38.4,7,6857906.68
Japan,57910,31.42,8,9586329.71
Japan,37871,40.05,9,4492813.77
Japan,43578,12.05,9,10387523.96
Japan,42667,45.08,6,6576682.79
Japan,36576,11.62,7,3717195.54
Japan,28106,2.41,6,4700111.41
Japan,20429,56.99,2,4362687.04
Japan,39799,22.24,9,10534278.15
Japan,37170,62.87,5,7994888.94
Japan,0,51.55,1,0.0
Japan,52200,63.73,10,10706956.09
Japan,11419,58.89,3,2033684.61
Japan,44996,54.59,7,10152329.37
Japan,36096,10.84,7,9044684.06
Japan,29897,26.74,6,4370046.81
Japan,0,37.55,1,0.0
Japan,32488,58.92,7,5629236.83
Japan,50686,27.56,10,7943239.2
Japan,35102,44.07,4,8990402.07
Japan,14526,15.8,4,3966339.76
Japan,13690,3.89,2,4007068.91
Japan,31105,22.59,7,4565254.69
Japan,7731,58.6,2,1429188.0
Japan,35592,41.76,6,6523045.32
Japan,13318,70.27,3,1191552.98
Japan,0,62.52,1,0.0
Japan,18378,1.97,5,4548923.33
Japan,35279,15.38,8,4677082.41
Japan,10328,69.16,3,2435876.3
Japan,43221,55.52,9,5052909.52
Japan,18369,48.38,4,4734130.73
Japan,25798,67.19,8,4683523.24
Japan,17864,2.32,6,4465839.69
Japan,40147,51.22,9,5122837.88
Japan,39045,48.89,8,6286115.95
Japan,8362,33.33,2,974540.92
